week_number,Total_Flights,Total_Duration_of_Flights,Max_Duration_of_Flights,Min_Duration_of_Flights,Median_Duration_of_Flights,Mean_Duration_of_Flights,Mean_Duration_of_Flights_pd,Highest_Traffic_Origin_Airport,Highest_Traffic_Destination_Airport,Most_Common_Flight_Path,Unique_Flight_Paths,Unique_Carriers,Count_of_Arrival_Delays,Mean_Arrival_Delays,Count_of_Departure_Delay,Mean_Departure_Delay,Total_Distance,Mean_Distance,Total_Cancelled_Flights,Count_Carrier_Delay,Mean_Carrier_Delay,Count_Weather_Delay,Mean_Weather_Delay,Count_NAS_Delay,Mean_NAS_Delay,Count_Security_Delay,Mean_Security_Delay,Count_Late_Aircraft_Delay,Mean_Late_Aircraft_Delay
40,56636,5690008.0,639.0,3.0,82.0,100.46627586693975,100.46627586693975,ORD,ORD,LAX_SFO,2076,14,56636,5.1639769757751255,56732,4.6677007685257,33756980.0,590.9628514407759,430,0,,0,,0,,0,,0,
41,101000,10150567.0,649.0,1.0,82.0,100.50066336633664,100.50066336633664,ATL,ORD,SFO_LAX,2075,14,101000,5.412841584158416,101142,4.5554764588400465,59695731.0,587.8688574636126,486,0,,0,,0,,0,,0,
42,100714,10113267.0,848.0,11.0,82.0,100.415701888516,100.415701888516,ORD,ORD,SFO_LAX,2076,14,100714,6.15585717973668,100938,5.495353583387822,59852267.0,588.6915215894561,812,0,,0,,0,,0,,0,
43,100027,10119338.0,678.0,-21.0,82.0,101.16606516240616,101.16606516240616,ORD,ORD,SFO_LAX,2078,14,100027,6.8424825297169765,100219,5.58386134365739,59209023.0,587.3503129742974,655,0,,0,,0,,0,,0,
44,100008,10109146.0,920.0,-23.0,83.0,101.08337333013358,101.08337333013358,ORD,ORD,SFO_LAX,2103,14,100008,6.378799696024318,100238,5.154422474510665,59272596.0,587.4681203231082,738,0,,0,,0,,0,,0,
45,100078,10176755.0,600.0,6.0,83.0,101.68823317812107,101.68823317812107,ORD,ORD,SFO_LAX,2057,14,100078,6.298107476168589,100294,5.133557341416236,59480804.0,589.303941189292,717,0,,0,,0,,0,,0,
46,97789,9967944.0,1552.0,3.0,83.0,101.93318266880733,101.93318266880733,ORD,ORD,SFO_LAX,2063,14,97789,9.110861139801,98134,7.6094218109931315,59136974.0,588.170094684914,2490,0,,0,,0,,0,,0,
47,98658,10101303.0,645.0,8.0,84.0,102.38706440430579,102.38706440430579,ORD,ORD,SFO_LAX,2056,14,98658,8.807010075209309,98897,7.184484868095089,58863660.0,589.4736525866731,1042,0,,0,,0,,0,,0,
48,91989,9438586.0,1637.0,-310.0,83.0,102.60559414712628,102.60559414712628,ATL,ATL,SFO_LAX,2081,14,91989,8.594147126286838,92213,7.567045861212628,55358929.0,596.2638971166377,707,0,,0,,0,,0,,0,
49,98861,10182533.0,638.0,11.0,85.0,102.99848271815983,102.99848271815983,ORD,ORD,SFO_LAX,2059,14,98861,10.358695542225954,99084,8.468784062007993,59292635.0,591.5952606635071,1216,0,,0,,0,,0,,0,
50,98730,10165749.0,1109.0,11.0,84.0,102.96514737161957,102.96514737161957,ORD,ORD,SFO_LAX,2055,14,98730,8.660204598399677,99089,6.885547336233083,59402623.0,591.3415394110738,1445,0,,0,,0,,0,,0,
51,94663,9916908.0,671.0,-53.0,85.0,104.76012803312804,104.76012803312804,ORD,ORD,SFO_LAX,2079,14,94663,16.97949568469201,95169,14.148661854175204,59113299.0,595.1502542159577,4234,0,,0,,0,,0,,0,
52,95282,9933691.0,1541.0,-515.0,85.0,104.25569362523876,104.25569362523876,ORD,ORD,LAX_SFO,2062,14,95282,16.325245062026404,95817,14.94854775248651,58975684.0,601.4367415203247,2312,0,,0,,0,,0,,0,
53,53891,5574106.0,1654.0,0.0,84.0,103.4329665435787,103.4329665435787,ORD,ATL,SFO_LAX,2050,14,53891,21.641851143975803,54175,20.169395477618828,33598067.0,594.3404740845568,2401,0,,0,,0,,0,,0,
