week_number,Origin,Total_Flights,Total_Duration_of_Flights,Max_Duration_of_Flights,Min_Duration_of_Flights,Median_Duration_of_Flights,Mean_Duration_of_Flights,Mean_Duration_of_Flights_pd,Highest_Traffic_Origin_Airport,Highest_Traffic_Destination_Airport,Most_Common_Flight_Path,Unique_Flight_Paths,Unique_Carriers,Count_of_Arrival_Delays,Mean_Arrival_Delays,Count_of_Departure_Delay,Mean_Departure_Delay,Total_Distance,Mean_Distance,Total_Cancelled_Flights,Count_Carrier_Delay,Mean_Carrier_Delay,Count_Weather_Delay,Mean_Weather_Delay,Count_NAS_Delay,Mean_NAS_Delay,Count_Security_Delay,Mean_Security_Delay,Count_Late_Aircraft_Delay,Mean_Late_Aircraft_Delay
40,ABE,57,3913.0,138.0,20.0,67.0,68.64912280701755,68.64912280701755,ABE,PIT,ABE_PIT,16,4,57,0.38596491228070173,58,0.7931034482758621,20155.0,347.5,0,0,,0,,0,,0,,0,
40,ABQ,333,28227.0,172.0,42.0,77.0,84.76576576576576,84.76576576576576,ABQ,PHX,ABQ_PHX,96,9,333,2.984984984984985,333,3.6666666666666665,167490.0,498.48214285714283,3,0,,0,,0,,0,,0,
40,ACV,15,788.0,77.0,30.0,53.0,52.53333333333333,52.53333333333333,ACV,SFO,ACV_SFO,4,1,15,28.0,15,25.466666666666665,3303.0,220.2,0,0,,0,,0,,0,,0,
40,AGS,38,1550.0,53.0,26.0,41.0,40.78947368421053,40.78947368421053,AGS,ATL,AGS_ATL,10,2,38,3.8157894736842106,38,1.5526315789473684,5090.0,133.94736842105263,0,0,,0,,0,,0,,0,
40,ALB,102,8294.0,144.0,29.0,73.0,81.31372549019608,81.31372549019608,ALB,ORD,ALB_ORD,35,6,102,13.27450980392157,102,13.941176470588236,50066.0,417.21666666666664,18,0,,0,,0,,0,,0,
40,ALO,15,708.0,72.0,25.0,54.0,47.2,47.2,ALO,STL,ALO_STL,4,1,15,3.4,15,0.0,2930.0,195.33333333333334,0,0,,0,,0,,0,,0,
40,AMA,84,4818.0,83.0,27.0,58.5,57.357142857142854,57.357142857142854,AMA,DFW,AMA_DFW,23,4,84,0.9880952380952381,85,1.3764705882352941,24504.0,288.2823529411765,0,0,,0,,0,,0,,0,
40,ANC,154,23794.0,346.0,40.0,182.5,154.5064935064935,154.5064935064935,ANC,SEA,ANC_SEA,44,6,154,7.714285714285714,154,3.2337662337662336,172665.0,1113.967741935484,1,0,,0,,0,,0,,0,
40,APF,11,348.0,36.0,28.0,32.0,31.636363636363637,31.636363636363637,APF,TPA,APF_TPA,3,1,11,-2.8181818181818183,11,-0.45454545454545453,1474.0,134.0,0,0,,0,,0,,0,,0,
40,ATL,2855,272293.0,532.0,29.0,88.0,95.37408056042031,95.37408056042031,ATL,ORD,ATL_ORD,649,10,2855,5.74045534150613,2860,3.15,1567200.0,543.7890353920889,22,0,,0,,0,,0,,0,
40,ATW,18,1142.0,90.0,27.0,67.5,63.44444444444444,63.44444444444444,ATW,MSP,ATW_MSP,6,1,18,3.4444444444444446,19,0.8947368421052632,4876.0,232.1904761904762,2,0,,0,,0,,0,,0,
40,AUS,307,20877.0,194.0,24.0,50.0,68.00325732899023,68.00325732899023,AUS,DFW,AUS_DFW,82,10,307,0.9315960912052117,307,2.514657980456026,109475.0,355.43831168831167,1,0,,0,,0,,0,,0,
40,AVL,23,905.0,83.0,25.0,33.0,39.34782608695652,39.34782608695652,AVL,CLT,AVL_CLT,6,1,23,-0.08695652173913043,23,1.565217391304348,3404.0,148.0,0,0,,0,,0,,0,,0,
