Year,week_number,Total_Flights
1987,40,633
1987,41,1086
1987,42,1052
1987,43,1041
1987,44,1032
1987,45,992
1987,46,1010
1987,47,993
1987,48,965
1987,49,1018
1987,50,981
1987,51,935
1987,52,962
1987,53,544
1988,1,963
1988,2,977
1988,3,977
1988,4,1007
1988,5,1005
1988,6,969
1988,7,1020
1988,8,1054
1988,9,1020
1988,10,1039
1988,11,1061
1988,12,992
1988,13,1040
1988,14,979
1988,15,1062
1988,16,996
1988,17,1011
1988,18,985
1988,19,965
1988,20,1008
1988,21,944
1988,22,999
1988,23,1029
1988,24,1014
1988,25,980
1988,26,964
1988,27,985
1988,28,1032
1988,29,1026
1988,30,1003
1988,31,1010
1988,32,1051
1988,33,1038
1988,34,1043
1988,35,1030
1988,36,995
1988,37,983
1988,38,1016
1988,39,1027
1988,40,994
1988,41,1044
1988,42,1015
1988,43,983
1988,44,1051
1988,45,1007
1988,46,1022
1988,47,929
1988,48,937
1988,49,1078
1988,50,1017
1988,51,979
1988,52,872
1988,53,416
1989,1,964
1989,2,972
1989,3,1019
1989,4,1005
1989,5,910
1989,6,1019
1989,7,1013
1989,8,981
1989,9,932
1989,10,893
1989,11,967
1989,12,972
1989,13,1001
1989,14,972
1989,15,970
1989,16,1051
1989,17,1006
1989,18,926
1989,19,919
1989,20,922
1989,21,942
1989,22,911
1989,23,984
1989,24,1015
1989,25,976
1989,26,978
1989,27,1010
1989,28,944
1989,29,1036
1989,30,950
1989,31,973
1989,32,1026
1989,33,1028
1989,34,990
1989,35,958
1989,36,1007
1989,37,937
1989,38,973
1989,39,983
1989,40,1039
1989,41,964
1989,42,1036
1989,43,1047
1989,44,969
1989,45,974
1989,46,987
1989,47,902
1989,48,1010
1989,49,1036
1989,50,993
1989,51,936
1989,52,1119
1990,1,1168
1990,2,1006
1990,3,1012
1990,4,1057
1990,5,1003
1990,6,1059
1990,7,992
1990,8,1040
1990,9,1000
1990,10,956
1990,11,1061
1990,12,1020
1990,13,1061
1990,14,993
1990,15,1040
1990,16,1085
1990,17,1063
1990,18,1102
1990,19,1084
1990,20,1037
1990,21,1002
1990,22,1003
1990,23,986
1990,24,1047
1990,25,1024
1990,26,1018
1990,27,1048
1990,28,1060
1990,29,1088
1990,30,1051
1990,31,1013
1990,32,1063
