,Year,week_number,Total_Flights
0,2001,1,126584
1,2001,2,115433
2,2001,3,113893
3,2001,4,116169
4,2001,5,115503
5,2001,6,113396
6,2001,7,114907
7,2001,8,114786
8,2001,9,115247
9,2001,10,113169
10,2001,11,116769
11,2001,12,116806
12,2001,13,117019
13,2001,14,116695
14,2001,15,114960
15,2001,16,118147
16,2001,17,118300
17,2001,18,118222
18,2001,19,118250
19,2001,20,118107
20,2001,21,114400
21,2001,22,116924
22,2001,23,116798
23,2001,24,116664
24,2001,25,117807
25,2001,26,118701
26,2001,27,115923
27,2001,28,119960
28,2001,29,119799
29,2001,30,119595
30,2001,31,119882
31,2001,32,118871
32,2001,33,119638
33,2001,34,119680
34,2001,35,114901
35,2001,36,117162
36,2001,37,49829
37,2001,38,96354
38,2001,39,97994
39,2001,40,98821
40,2001,41,97950
41,2001,42,98899
42,2001,43,97866
43,2001,44,97302
44,2001,45,98261
45,2001,46,96943
46,2001,47,91422
47,2001,48,96774
48,2001,49,97570
49,2001,50,97058
50,2001,51,98538
51,2001,52,93025
52,2000,1,104655
53,2000,2,103810
54,2000,3,101109
55,2000,4,94672
56,2000,5,103624
57,2000,6,103136
58,2000,7,101238
59,2000,8,104243
60,2000,9,106030
61,2000,10,105759
62,2000,11,106493
63,2000,12,106405
64,2000,13,106498
65,2000,14,105870
66,2000,15,106136
67,2000,16,103536
68,2000,17,106544
69,2000,18,106135
70,2000,19,102450
71,2000,20,102947
72,2000,21,103500
73,2000,22,105095
74,2000,23,106320
75,2000,24,101936
76,2000,25,106152
77,2000,26,105389
78,2000,27,104003
79,2000,28,105761
80,2000,29,107692
81,2000,30,105907
82,2000,31,104491
83,2000,32,107004
84,2000,33,107796
85,2000,34,107964
86,2000,35,104338
87,2000,36,106725
88,2000,37,105255
89,2000,38,106361
90,2000,39,106930
91,2000,40,106792
92,2000,41,107529
93,2000,42,107240
94,2000,43,107050
95,2000,44,107245
96,2000,45,107430
97,2000,46,108151
98,2000,47,100401
99,2000,48,107567
100,2000,49,106962
101,2000,50,97919
102,2000,51,103710
103,2000,52,123398
104,2002,1,107044
105,2002,2,97531
106,2002,3,97079
107,2002,4,97313
108,2002,5,95889
109,2002,6,97199
110,2002,7,99326
111,2002,8,99727
112,2002,9,98782
113,2002,10,100045
114,2002,11,100246
115,2002,12,100177
116,2002,13,100115
117,2002,14,100064
118,2002,15,101256
119,2002,16,100593
120,2002,17,101215
121,2002,18,100769
122,2002,19,100509
123,2002,20,100857
124,2002,21,99416
125,2002,22,100314
126,2002,23,101328
127,2002,24,103384
128,2002,25,104417
129,2002,26,103478
130,2002,27,99532
131,2002,28,104283
132,2002,29,104611
133,2002,30,104027
134,2002,31,104427
135,2002,32,104736
136,2002,33,103944
137,2002,34,104416
138,2002,35,100996
139,2002,36,101060
140,2002,37,97109
141,2002,38,100425
142,2002,39,100249
143,2002,40,99669
144,2002,41,99777
145,2002,42,99617
146,2002,43,99291
147,2002,44,98405
148,2002,45,97696
149,2002,46,97937
150,2002,47,98083
151,2002,48,90571
152,2002,49,94123
153,2002,50,96108
154,2002,51,97570
155,2002,52,91125
156,2003,1,139386
157,2003,2,122567
158,2003,3,122251
159,2003,4,122337
160,2003,5,121532
161,2003,6,120671
162,2003,7,120300
163,2003,8,116931
164,2003,9,122007
165,2003,10,123512
166,2003,11,125171
167,2003,12,123391
168,2003,13,125574
169,2003,14,122474
170,2003,15,119986
171,2003,16,121628
172,2003,17,121887
173,2003,18,119899
174,2003,19,119358
175,2003,20,120399
176,2003,21,118899
177,2003,22,119959
178,2003,23,122140
179,2003,24,123297
180,2003,25,125214
181,2003,26,125463
182,2003,27,120102
183,2003,28,124032
184,2003,29,125475
185,2003,30,124605
186,2003,31,124415
187,2003,32,125088
188,2003,33,123740
189,2003,34,125621
190,2003,35,121145
191,2003,36,121820
192,2003,37,120239
193,2003,38,119392
194,2003,39,121888
195,2003,40,122849
196,2003,41,123450
197,2003,42,123463
198,2003,43,122545
