iata,latitude,longitude
SAN,32.73360062,-117.1900024
SFO,37.61899948,-122.375
BUR,34.20069885,-118.3590012
OAK,37.721298,-122.221001
LAX,33.94250107,-118.4079971
PHX,33.43429947,-112.012001
SJC,37.362598,-121.929001
LAS,36.08010101,-115.1520004
SNA,33.67570114,-117.8679962
SMF,38.69540024,-121.5910034
ABQ,35.040199,-106.609001
MFR,42.37419891,-122.8730011
SCK,37.89419937,-121.237999
MRY,36.5870018,-121.8430023
TUS,32.11610031,-110.9410019
EUG,44.12459946,-123.211998
SEA,47.449001,-122.308998
RDM,44.2541008,-121.1500015
PDX,45.58869934,-122.5979996
RNO,39.49909973,-119.7679977
ONT,34.05599976,-117.6009979
CCR,37.98970032,-122.0569992
FAT,36.77619934,-119.7180023
LGB,33.81769943,-118.1520004
PSC,46.26470184,-119.1190033
YKM,46.56819916,-120.5439987
BLI,48.7928009,-122.538002
GEG,47.61989975,-117.5339966
JFK,40.63980103,-73.77890015
STL,38.748697,-90.370003
HNL,21.32062,-157.924228
MIA,25.79319954,-80.29060364
SJU,18.43939972,-66.00180054
DEN,39.86169815,-104.6729965
CVG,39.04880142,-84.6678009
DCA,38.8521,-77.037697
DTW,42.21239853,-83.35340118
SYR,43.11119843,-76.10630035
LGA,40.77719879,-73.87259674
BOS,42.36429977,-71.00520325
PHL,39.87189865,-75.2410965
TPA,27.97550011,-82.53320313
MCO,28.42939949,-81.30899811
MKE,42.94720078,-87.89659882
IAD,38.94449997,-77.45580292
CMH,39.998001,-82.891899
ORD,41.9786,-87.9048
PIT,40.49150085,-80.23290253
EWR,40.69250107,-74.16870117
HOU,29.64539909,-95.27890015
SAT,29.53370094,-98.46980286
DAY,39.90240097,-84.2193985
IND,39.7173,-86.294403
FLL,26.072599,-80.152702
BNA,36.12450027,-86.67819977
CLE,41.4117012,-81.84980011
DFW,32.896801,-97.038002
BWI,39.1754,-76.668297
ORF,36.89459991,-76.20120239
COS,38.805801,-104.700996
MCI,39.2976,-94.713898
LIT,34.72940063,-92.22429657
TUL,36.19839859,-95.88809967
BDL,41.93889999,-72.68319702
SLC,40.78839874,-111.9779968
SDF,38.1744,-85.736
IAH,29.9843998,-95.34140015
JAX,30.49410057,-81.68789673
PSP,33.82970047,-116.5070038
ANC,61.17440033,-149.9960022
MSY,29.99340057,-90.25800323
OMA,41.3032,-95.894096
RSW,26.53619957,-81.75520325
SRQ,27.39539909,-82.55439758
ICT,37.649899,-97.433098
ATL,33.6367,-84.428101
MDW,41.785999,-87.752403
AUS,30.19449997,-97.66989899
MSP,44.882,-93.221802
PBI,26.68320084,-80.09559631
OKC,35.39310074,-97.60070038
MLI,41.44850159,-90.50749969
MSN,43.13990021,-89.33750153
CLT,35.2140007,-80.94309998
DSM,41.5340004,-93.6631012
RDU,35.87760162,-78.78749847
FSD,43.58200073,-96.74189758
PIA,40.66419983,-89.69329834
SGF,37.24570084,-93.38860321
LEX,38.03649902,-84.60590363
CMI,40.03919983,-88.27809906
CID,41.88470078,-91.71080017
SUX,42.40259933,-96.38439941
TOL,41.58679962,-83.80780029
LNK,40.85100174,-96.75920105
MDT,40.19350052,-76.76339722
ALO,42.55709839,-92.40029907
RST,43.90829849,-92.5
MEM,35.04240036,-89.97669983
OGG,20.8986,-156.429993
FAI,64.81510162,-147.8560028
KOA,19.738783,-156.045603
ROC,43.1189003,-77.67240143
MBS,43.53290176,-84.07959747
LIH,21.97599983,-159.3390045
SBA,34.42620087,-119.8399963
ALB,42.74829865,-73.80169678
GSO,36.09780121,-79.93730164
GRR,42.88079834,-85.52279663
BIL,45.80770111,-108.5429993
BHM,33.56290054,-86.75350189
CAE,33.93880081,-81.11949921
MHT,42.932598,-71.435699
ELP,31.80719948,-106.3779984
TYS,35.81100082,-83.9940033
JAN,32.31119919,-90.07589722
BFL,35.43360138,-119.0569992
HSV,34.6371994,-86.77510071
SAV,32.12760162,-81.20210266
BGR,44.80739975,-68.82810211
PWM,43.64619827,-70.30930328
ABE,40.65209961,-75.44080353
BOI,43.5644,-116.223
CAK,40.91609955,-81.44219971
GTF,47.48199844,-111.3710022
BUF,42.94049835,-78.73220062
CPR,42.908001,-106.463997
BTV,44.47190094,-73.15329742
ISP,40.79520035,-73.10019684
RIC,37.50519943,-77.31970215
CHS,32.89860153,-80.04049683
PVD,41.732601,-71.420403
RAP,44.04529953,-103.0569992
CRW,38.37310028,-81.59320068
FAR,46.92070007,-96.81580353
HPN,41.06700134,-73.70760345
FOE,38.95090103,-95.66359711
ILM,34.27059937,-77.90260315
RDD,40.50899887,-122.2929993
LMT,42.156101,-121.733002
ACV,40.978101,-124.109
ILG,39.67869949,-75.60649872
DAL,32.847099,-96.851799
LBB,33.663601,-101.822998
AMA,35.219398,-101.706001
CRP,27.77039909,-97.50119781
HRL,26.22850037,-97.65440369
MAF,31.94249916,-102.2020035
TLH,30.39649963,-84.35030365
GSP,34.89569855,-82.21890259
PNS,30.47340012,-87.18659973
MOB,30.69120026,-88.24279785
AVP,41.33850098,-75.7233963
GNV,29.69009972,-82.27179718
STT,18.33729935,-64.9733963
STX,17.70190048,-64.79859924
DAB,29.179899,-81.058098
MLB,28.10280037,-80.64530182
DRO,37.1515007,-107.7539978
GJT,39.12239838,-108.5270004
PUB,38.28910065,-104.4970016
GCN,35.95240021,-112.1470032
FLG,35.13850021,-111.6709976
YUM,32.65660095,-114.6060028
GRB,44.48509979,-88.12960052
AZO,42.23490143,-85.55210114
ERI,42.08312701,-80.17386675
FWA,40.97850037,-85.19509888
BIS,46.77270126,-100.7460022
MOT,48.25939941,-101.2799988
GFK,47.949299,-97.176102
VPS,30.4832,-86.525398
BZN,45.77750015,-111.1529999
DLH,46.84209824,-92.19360352
LSE,43.879002,-91.256699
EAU,44.86579895,-91.48429871
ATW,44.2580986,-88.51909637
SBN,41.70869827,-86.31729889
LAN,42.77870178,-84.58740234
MSO,46.91630173,-114.0910034
MGM,32.30059814,-86.39399719
BTR,30.533199,-91.149597
SHV,32.446602,-93.8256
CHA,35.03530121,-85.20379639
GPT,30.40730095,-89.07009888
PFN,30.212099,-85.6828
CWA,44.77759933,-89.66680145
ROA,37.3255,-79.975403
FAY,34.99119949,-78.88030243
AVL,35.43619919,-82.54180145
OAJ,34.82920074,-77.61209869
HTS,38.36669922,-82.55799866
TRI,36.475201,-82.407401
LYH,37.3266983,-79.20040131
MYR,33.67969894,-78.92829895
FNT,42.9654007,-83.74359894
AGS,33.36989975,-81.96450043
ORH,42.26729965,-71.8757019
CHO,38.1385994,-78.45290375
ISO,35.33140183,-77.6088028
EVV,38.03699875,-87.53240204
UCA,43.145,-75.38389
APF,26.15259933,-81.77529907
EYW,24.55610085,-81.75959778
BGM,42.20869827,-75.97979736
ITH,42.49100113,-76.45839691
ELM,42.15990067,-76.89160156
LFT,30.20529938,-91.98760223
GUM,13.48340034,144.7960052
YAP,9.49891,138.082993
ROR,7.36731,134.544236
SPN,15.119,145.729004
MFE,26.17580032,-98.23860168
MLU,32.51089859,-92.03769684
CSG,32.5163002,-84.93890381
FCA,48.3105011,-114.2559967
HLN,46.60680008,-111.9830017
IDA,43.514599,-112.070999
JAC,43.6072998,-110.737999
JNU,58.35499954,-134.576004
BTM,45.95479965,-112.4970016
PIE,27.91020012,-82.68740082
TVL,38.89390182,-119.9950027
PHF,37.13190079,-76.49299622
BET,60.77980042,-161.8379974
OME,64.5121994,-165.4450073
OTZ,66.88469696,-162.598999
SCC,70.19470215,-148.4649963
KTN,55.35559845,-131.7140045
CDV,60.4917984,-145.4779968
YAK,59.50329971,-139.6600037
SIT,57.04710007,-135.3619995
PSG,56.80170059,-132.9450073
WRG,56.48429871,-132.3699951
GUC,38.53390121,-106.9329987
HDN,40.48120117,-107.2180023
PIR,44.38270187,-100.2860031
PIH,42.90980148,-112.5960007
ACY,39.45759964,-74.57720184
GST,58.4253006,-135.7070007
DET,42.40919876,-83.00990295
ROP,14.17430019,145.2429962
BFI,47.52999878,-122.302002
TVC,44.74140167,-85.5821991
ABI,32.41130066,-99.68190002
EGE,39.64260101,-106.9179993
SUN,43.50439835,-114.2959976
RFD,42.19540024,-89.09719849
PMD,34.62939835,-118.0849991
SWF,41.5041008,-74.10479736
EFD,29.6072998,-95.15879822
PSE,18.00830078,-66.56300354
MKC,39.12319946,-94.59279633
HVN,41.26369858,-72.88680267
TTN,40.27669907,-74.81349945
BQN,18.49489975,-67.12940216
SPI,39.84410095,-89.67790222
LWB,37.85829926,-80.39949799
BRW,71.285402,-156.766008
AKN,58.67679977,-156.6490021
DLG,59.04470062,-158.5050049
ADQ,57.75,-152.4940033
ANI,61.58160019,-159.5429993
KSM,62.0605011,-163.302002
MTJ,38.50979996,-107.8939972
DUT,53.90010071,-166.5440063
COD,44.52019882,-109.0240021
ACK,41.25310135,-70.06020355
BRO,25.90679932,-97.42590332
TWF,42.4818,-114.487999
MKK,21.1529007,-157.095993
LNY,20.78560066,-156.951004
GGG,32.38399887,-94.71150208
MIB,48.4156,-101.358002
ITO,19.72139931,-155.0480042
SBP,35.23680115,-120.6419983
XNA,36.281898,-94.306801
TXK,33.45370102,-93.99099731
FSM,35.33660126,-94.36740112
ACT,31.61129951,-97.23049927
LRD,27.54380035,-99.46160126
SPS,33.9888,-98.491898
BPT,29.95079994,-94.02069855
ILE,31.08580017,-97.68650055
LAW,34.56769943,-98.41660309
SJT,31.35770035,-100.4960022
CLL,30.58860016,-96.36380005
TYR,32.35409927,-95.40239716
BMI,40.47710037,-88.91590118
DBQ,42.40200043,-90.70950317
MQT,46.35359955,-87.395401
RDR,47.96110153,-97.40119934
MAZ,18.25569916,-67.14849854
CDC,37.70100021,-113.098999
SGU,37.036389,-113.510306
EKO,40.82490158,-115.7919998
CLD,33.12829971,-117.2799988
IPL,32.83420181,-115.5790024
IYK,35.65879822,-117.8300018
VIS,36.31869888,-119.3929977
OXR,34.20080185,-119.2070007
SMX,34.89889908,-120.4570007
CEC,41.78020096,-124.2369995
CIC,39.79539871,-121.8580017
MOD,37.62580109,-120.9540024
OGD,41.19589996,-112.012001
AEX,31.32740021,-92.54979706
LCH,30.12610054,-93.22329712
VCT,28.8526001,-96.91850281
MCN,32.69279861,-83.64920044
MEI,32.33259964,-88.75189972
VLD,30.78249931,-83.27670288
GTR,33.45029831,-88.59140015
BQK,31.25880051,-81.46649933
DHN,31.32130051,-85.44960022
FLO,34.1853981,-79.72389984
ABY,31.53549957,-84.19450378
SCE,40.84930038,-77.84870148
FMN,36.74119949,-108.2300034
ADK,51.87799835,-176.6459961
WYS,44.68840027,-111.1179962
CYS,41.15570068,-104.8119965
BFF,41.87400055,-103.5960007
CKB,39.29660034,-80.22810364
PVU,40.21920013,-111.7229996
GRK,31.06719971,-97.8289032
CBM,33.64379883,-88.44380188
SKA,47.61510086,-117.6559982
LWS,46.37450027,-117.0149994
HKY,35.74110031,-81.38950348
TUP,34.26810074,-88.76989746
LAR,41.31209946,-105.6750031
ROW,33.30160141,-104.5309982
ASE,39.22320175,-106.8690033
TEX,37.9538002,-107.9079971
SOP,35.23740005,-79.3911972
LBF,41.12620163,-100.6839981
RCA,44.14500046,-103.1039963
CMX,47.16839981,-88.4890976
RHI,45.63119888,-89.46749878
PLN,45.57089996,-84.79669952
MTH,24.726101,-81.051399
HHH,32.22439957,-80.69750214
GLH,33.48289871,-90.98560333
EWN,35.07300186,-77.04290009
SLE,44.90950012,-123.0029984
INL,48.56620026,-93.40309906
BJI,47.50939941,-94.93370056
GCC,44.34889984,-105.5390015
RKS,41.5942,-109.065001
MKG,43.16949844,-86.23819733
OTH,43.417099,-124.2460022
