Origin,start_lat,start_lon,Dest,end_lat,end_lon,Total
ABE,40.65209961,-75.44080353,ATL,33.6367,-84.428101,180
ABE,40.65209961,-75.44080353,AVP,41.33850098,-75.7233963,179
ABE,40.65209961,-75.44080353,DTW,42.21239853,-83.35340118,250
ABE,40.65209961,-75.44080353,MDT,40.19350052,-76.76339722,84
ABE,40.65209961,-75.44080353,ORD,41.9786,-87.9048,178
ABE,40.65209961,-75.44080353,PHL,39.87189865,-75.2410965,27
ABE,40.65209961,-75.44080353,PIT,40.49150085,-80.23290253,360
ABQ,35.040199,-106.609001,AMA,35.219398,-101.706001,237
ABQ,35.040199,-106.609001,DAL,32.847099,-96.851799,309
ABQ,35.040199,-106.609001,DEN,39.86169815,-104.6729965,861
ABQ,35.040199,-106.609001,DFW,32.896801,-97.038002,984
ABQ,35.040199,-106.609001,ELP,31.80719948,-106.3779984,678
ABQ,35.040199,-106.609001,IAH,29.9843998,-95.34140015,169
ABQ,35.040199,-106.609001,LAS,36.08010101,-115.1520004,500
ABQ,35.040199,-106.609001,LAX,33.94250107,-118.4079971,753
ABQ,35.040199,-106.609001,LBB,33.663601,-101.822998,181
ABQ,35.040199,-106.609001,MAF,31.94249916,-102.2020035,165
ABQ,35.040199,-106.609001,MCI,39.2976,-94.713898,247
ABQ,35.040199,-106.609001,ORD,41.9786,-87.9048,268
ABQ,35.040199,-106.609001,PHX,33.43429947,-112.012001,1419
ABQ,35.040199,-106.609001,SAN,32.73360062,-117.1900024,82
ABQ,35.040199,-106.609001,SAT,29.53370094,-98.46980286,59
ABQ,35.040199,-106.609001,SFO,37.61899948,-122.375,89
ABQ,35.040199,-106.609001,SLC,40.78839874,-111.9779968,265
ABQ,35.040199,-106.609001,STL,38.748697,-90.370003,340
ABQ,35.040199,-106.609001,TUL,36.19839859,-95.88809967,81
ABQ,35.040199,-106.609001,TUS,32.11610031,-110.9410019,179
ACV,40.978101,-124.109,RDD,40.50899887,-122.2929993,86
ACV,40.978101,-124.109,SFO,37.61899948,-122.375,257
AGS,33.36989975,-81.96450043,ATL,33.6367,-84.428101,592
AGS,33.36989975,-81.96450043,CAE,33.93880081,-81.11949921,86
AGS,33.36989975,-81.96450043,CLT,35.2140007,-80.94309998,184
ALB,42.74829865,-73.80169678,ATL,33.6367,-84.428101,173
ALB,42.74829865,-73.80169678,BDL,41.93889999,-72.68319702,70
